브랜드,제품,제품명,용량,가격,지성,건성,민감성,특징,효능,특징2,,,지성,건성,민감성
알페신,샴푸,알페신 액티브 샴푸 A1 250ml,250,14500,멘톨,"비타민E, 판테놀",,,탈모완화,4번 5번 3번 9번,쿨링효과.탈모,,"수렴 및 진정,쿨링 효과","부드러운 모발,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
미친스킨,샴푸,미친스킨 맥주효모 샴푸 300ml,300,14090,"살리실산, 멘톨","부틸렌글라이콜, 판테놀",,"실리콘프리,파라벤프리",탈모완화,4번 5번 3번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
네이처리퍼블릭,샴푸,네이처리퍼블릭 블랙빈 안티 헤어 로스 샴푸 520ml,520,13280,"살리실산, 멘톨","글리세린, 부틸렌글라이콜, 판테놀",,,"탈모완화,영양공급",4번 5번 3번 9번 7번,지성.쿨링효과.탈모탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
네이처리퍼블릭,샴푸,네이처리퍼블릭 트루 허브 만다린 진저 샴푸 270ml,270,5330,"살리실산, 멘톨, 티트리추출물","부틸렌글라이콜, 판테놀",,,"탈모완화,두피클렌징,쿨링효과",4번 3번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과,살균 및 향염","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
네이처리퍼블릭,샴푸,네이처리퍼블릭 트루 허브 로즈마리 민트 샴푸 270ml,270,5330,"살리실산, 멘톨, 티트리추출물","글리세린, 부틸렌글라이콜, 판테놀",,,"탈모완화,두피클렌징,쿨링효과,모발윤기",4번 5번 3번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과,살균 및 향염","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
네이처리퍼블릭,샴푸,네이처리퍼블릭 트루 허브 사이프러스 타임 샴푸 270ml,270,5330,"살리실산, 멘톨, 티트리추출물","글리세린, 부틸렌글라이콜, 판테놀",,,"탈모완화,두피클렌징,쿨링효과",4번 5번 3번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과,살균 및 향염","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
네이처리퍼블릭,샴푸,네이처리퍼블릭 트루 허브 라벤더 패출리 샴푸 270ml,270,5330,"살리실산, 녹차추출물, 멘톨, 티트리추출물","캐모마일꽃추출물, 판테놀",캐모마일꽃추출물,,"탈모완화,두피진정,두피클렌징,쿨링효과",4번 5번 2번 3번 9번 7번,지성.쿨링효과.탈모.민감성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과,살균 및 향염","습윤,예민현상 진정,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
피엘코스메틱,샴푸,피엘코스메틱 비어멕 맥주효모 샴푸 500ml,500,21000,"살리실산, 멘톨, 알란토인, 티트리추출물","글리세린, 판테놀","알란토인, 알로에베라잎추출물",,탈모완화,4번 3번 9번 7번,지성.쿨링효과.민감성.탈모탈모,,"피지 조절,수렴 및 진정,쿨링 효과,살균 및 향염","보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가","수렴 및 진정,예민현상 진정"
피엘코스메틱,샴푸,피엘코스메틱 비타브리드 스칼프 샴푸 300ml,300,12490,"징크옥사이드, 멘톨","비타민C, 상백피추출물, 판테놀",,실리콘프리,"탈모완화,영양공급",4번 3번 9번 7번,쿨링효과.탈모.민감성,,"살균 및 향염,수렴 및 진정,쿨링 효과","피부 재생,탄력,노화 방지,발모,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
피엘코스메틱,샴푸,피엘코스메틱 비타브리드 스칼프 샴푸 500ml,500,38000,"징크옥사이드, 멘톨","비타민C, 상백피추출물, 판테놀",,실리콘프리,"탈모완화,영양공급",4번 3번 9번,쿨링효과.탈모.민감성,,"살균 및 향염,수렴 및 진정,쿨링 효과","피부 재생,탄력,노화 방지,발모,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
한국보원바이오,샴푸,한국보원바이오 블랙모리 샴푸 300ml,300,39800,,"부틸렌글라이콜, 판테놀",,약산성(pH6.5),"탈모완화,새치케어",3번 5번,건성.탈모.약산성,,,"강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
더마앤모어,샴푸,더마앤모어 비오틴 탈모샴푸 1000ml,1000,6800,,"글리세린, 부틸렌글라이콜, 판테놀",,"약산성(pH6.5),설페이트프리,실리콘프리,파라벤프리,대용량",,3번 5번,건성.탈모탈모.약산성,,,"보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
더마앤모어,샴푸,더마앤모어 콜라겐 안티헤어로스 샴푸 400ml,400,17190,,"글리세린, 부틸렌글라이콜, 판테놀",알로에베라잎추출물,,,3번 5번,건성.민감성.탈모탈모,,,"보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
반코르,샴푸,반코르 맥주효모샴푸 탈모완화 500ml,500,26500,살리실산,판테놀,,,탈모완화,3번 7번,건성.탈모탈모,,피지 조절,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
폴미첼,샴푸,폴미첼 티트리 스페셜 샴푸 1000ml,1000,22900,,"캐모마일꽃추출물, 판테놀","캐모마일꽃추출물, 알로에베라잎추출물",,탈모완화,2번 3번,지루성.탈모.민감성,,,"습윤,예민현상 진정,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가","습윤,예민현상 진정"
폴미첼,샴푸,폴미첼 티트리 스페셜 샴푸 300ml,300,14890,,"캐모마일꽃추출물, 판테놀","캐모마일꽃추출물, 알로에베라잎추출물",,탈모완화,2번 3번,지루성.탈모.민감성,,,"습윤,예민현상 진정,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가","습윤,예민현상 진정"
비타브리드,샴푸,비타브리드 스칼프 샴푸 플러스 500ml,500,13330,"징크옥사이드, 살리실산, 멘톨","소디움PCA, 비타민C, 판테놀",,"설페이트프리,실리콘프리","탈모완화,영양공급",4번 3번 9번,지성.쿨링효과.탈모,,"살균 및 향염,피지 조절,수렴 및 진정,쿨링 효과","강력보습,피부 재생,탄력,노화 방지,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터라파,샴푸,닥터라파 알 탈모샴푸 500ml,500,7500,"살리실산, 녹차추출물, 멘톨","글리세린, 아보카도오일, 판테놀",알로에베라잎추출물,,탈모완화,4번 3번 9번 7번,지성.쿨링효과.탈모탈모.민감성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,수분 증발 방지,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
실크테라피,샴푸,실크테라피 알엑스 프로 샴푸 480ml,480,11060,"살리실산, 멘톨","글리세린, 부틸렌글라이콜, 판테놀",,실리콘프리,"탈모완화,영양공급",4번 3번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
일동제약,샴푸,일동제약 탈모랩 블랙 프로바이오틱 샴푸 300g,300,22340,"살리실산, 멘톨","글리세린, 부틸렌글라이콜, 콩추출물",,"탈모완화,두피진정,모발윤기,볼륨효과,새치케어", ,4번 5번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,탈모 억제 효과",
리체나,샴푸,리체나 골드 한방 헤나 클리닉 샴푸 500ml,500,13490,"살리실산, 멘톨",글리세린,,,탈모완화,4번 5번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과",보습력 증가,
다슈,샴푸,다슈 데일리 한방 두피 골드 샴푸 500ml,500,36000,"녹차추출물, 멘톨, 알란토인","글리세린, 부틸렌글라이콜, 판테놀",알란토인,"약산성(pH6.5),실리콘프리,파라벤프리","탈모완화,영양공급",4번 3번 5번 9번,지성.쿨링효과.탈모.민감성.약산성,,"수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",수렴 및 진정
다슈,샴푸,다슈 안티 헤어로스 스칼프 샴푸 1000ml,1000,17340,"녹차추출물, 멘톨, 알란토인","글리세린, 부틸렌글라이콜, 판테놀",알란토인,,탈모완화,4번 3번 5번 9번,지성.쿨링효과.탈모탈모.민감성,,"수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",수렴 및 진정
다슈,샴푸,다슈 비녹시딜 스칼프 샴푸 500ml,500,21000,"살리실산, 멘톨","글리세린, 부틸렌글라이콜, 판테놀",,,탈모완화,4번 3번 5번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
다슈,샴푸,다슈 비녹시딜 프레쉬 샴푸 500ml,500,21000,"살리실산, 녹차추출물, 멘톨","글리세린, 판테놀",,,탈모완화,4번 3번 5번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
푸드페시아,샴푸,푸드페시아 DHT-X 샴푸 360ml,360,19900,멘톨,판테놀,,,탈모완화,4번 3번 9번,쿨링효과.탈모,,"수렴 및 진정,쿨링 효과","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
푸드페시아,샴푸,푸드페시아 DHT-X 스칼프티 샴푸 400ml,400,16700,"녹차추출물, 멘톨",판테놀,,,탈모완화,4번 3번 9번,쿨링효과.탈모,,"수렴 및 진정,비듬 제거,쿨링 효과","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터방기원,샴푸,닥터방기원 댄드러프 샴푸 1000ml,1000,12250,"살리실산, 녹차추출물, 멘톨","콩추출물, 판테놀",,,탈모완화,4번 3번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","탈모 억제 효과,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터방기원,샴푸,닥터방기원 랩프레스티지 안티옥시던트 항산화 샴푸 500ml,500,65760,,"글리세린, 부틸렌글라아콜, 캐모마일꽃추출물, 판테놀",캐모마일꽃추출물,"저자극,설페이트프리","탈모완화,두피진정,두피클렌징",3번 5번,건성.탈모.민감성,,,"보습력 증가,부틸렌글라아콜,습윤,예민현상 진정,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
현대약품,샴푸,현대약품 마이녹셀 탈모샴푸 400ml,400,12330,"살리실산, 멘톨","부틸렌글라이콜, 비타민E, 판테놀",,"설페이트프리,실리콘프리,파라벤프리","탈모완화,수분공급,두피진정",4번 3번 9번 7번,지성.쿨링효과.탈모탈모,,"피지 조절,수렴 및 진정,쿨링 효과","강력보습,부드러운 모발,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
밥스누,샴푸,밥스누 서울대 약콩모 스칼프 딥 클렌징 탈모샴푸 400ml,400,19900,"멘톨, 알란토인","글리세린, 부틸렌글라이콜, 판테놀",알란토인,"설페이트프리,파라벤프리","탈모완화,볼륨효과",4번 3번 5번 9번,쿨링효과.탈모탈모.민감성,,"수렴 및 진정,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",수렴 및 진정
케이엠제약,샴푸,케이엠제약 닥터방기원 랩플러스바이옴 탈모샴푸 블랙라벨 1000ml,1000,13880,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 귀리가루추출물, 콩추출물, 판테놀",,"약산성(pH6.5),저자극,파라벤프리",수분공급,4번 3번 5번 9번 7번,지성.쿨링효과.탈모탈모.약산성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,수분 공급,탈모 억제 효과,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
케이엠제약,샴푸,케이엠제약 닥터방기원 랩플러스바이옴 탈모샴푸 그린라벨 1000ml,1000,15460,"살리실산, 멘톨","부틸렌글라이콜, 판테놀",,"약산성(pH6.5),저자극,파라벤프리","수분공급,영양공급,두피진정",4번 3번 9번 7번,지성.쿨링효과.탈모탈모.약산성,,"피지 조절,수렴 및 진정,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
케이엠제약,샴푸,케이엠제약 닥터방기원 랩플러스바이옴 탈모샴푸 블루라벨 1000ml,1000,15900,"살리실산, 녹차추출물, 멘톨","글리세린, 콩추출물, 판테놀",,,"탈모완화,수분공급",4번 3번 5번 9번 7번,지성.쿨링효과.탈모탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,탈모 억제 효과,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
솔레오코스메틱,샴푸,솔레오코스메틱 벤티 샴푸 1000ml,1000,37830,"살리실산, 멘톨","글리세린, 부틸렌글라이콜, 달맞이꽃오일, 판테놀",,,탈모완화,4번 3번 5번 9번 7번,지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,수분 증발 방지,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
순수연구소,샴푸,순수연구소 어도러블 여인 샴푸 500ml,500,25670,살리실산,판테놀,,약산성(pH6.5),"탈모완화,모발윤기",3번 7번,탈모.약산성,,피지 조절,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터봉코스메틱,샴푸,닥터봉코스메틱 닥터봉 한방 골드 샴푸 550ml,550,45000,,판테놀,,한방성분,탈모완화,3번,건성.탈모,,,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
리즈케이,샴푸,리즈케이 알블랙 샴푸 450g,450,18190,,"글리세린, 부틸렌글라이콜, 콩추출물, 판테놀",,,"탈모완화,영양공급,새치케어",3번 5번,건성.탈모,,,"보습력 증가,강력보습,탈모 억제 효과,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
헤드스파7,샴푸,헤드스파7 썬트리샴푸 500ml,500,75800,"살리실산, 녹차추출물, 멘톨, 알란토인","콩추출물, 캐모마일꽃추출물, 판테놀","알란토인, 캐모마일꽃추출물",,탈모완화,4번 5번 3번 9번 7번,지성.쿨링효과.탈모.민감성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","탈모 억제 효과,습윤,예민현상 진정,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가","수렴 및 진정,예민현상 진정"
리엔,샴푸,리엔 보양진 민감성 샴푸 400ml,400,3110,녹차추출물,판테놀,,실리콘프리,탈모완화,3번,지성.탈모.민감성,,"수렴 및 진정,비듬 제거","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
리엔,샴푸,리엔 보양진 탈모방지 지성 샴푸 400ml,400,7900,녹차추출물,판테놀,,"한방성분,실리콘프리",탈모완화,3번,지성.탈모탈모,,"수렴 및 진정,비듬 제거","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
리엔,샴푸,리엔 보양진 탈모방지 중건성 샴푸 400ml,400,6700,,부틸렌글라이콜,,"한방성분,실리콘프리",탈모완화,5번,중건성.탈모탈모,,,강력보습,
리엔,샴푸,리엔 보양진 지성 샴푸 400ml,400,7000,,부틸렌글라이콜,,실리콘프리,탈모완화,5번,지성.탈모,,,강력보습,
닥터찰로스,샴푸,닥터찰로스 트리플에스 약산성 탈모샴푸 1350ml,1350,17900,멘톨,판테놀,,대용량,탈모완화,3번 4번 5번 9번,쿨링효과.탈모탈모.약산성,,"수렴 및 진정,쿨링 효과","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터올가,샴푸,닥터올가 비건 호호바 티트리 천연 샴푸 1000ml,1000,66000,,"글리세린, 부틸렌글라이콜, 판테놀, 디판테놀, 덱스판테놀, 토코페롤, 비타민E, 시어버터",알로에베라잎추출물,,,3번 4번 5번,지루성.민감성,,,"보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,부드러운 모발",예민현상 진정
톤28,샴푸,톤28 샴푸바S19(바오밥) 100g,100,11000,,"글리세린, 시어버터, 판테놀, 디판테놀, 덱스판테놀, 복숭아추출물",,,,5번,건성,,,"보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,습윤",
안달로우내추럴스,샴푸,안달로우내추럴스 아르간 스템셀에이지 디파잉 샴푸 340ml,340,18000,"감초뿌리추출물, 감초추출물, 알란토인","글리세린, 판테놀, 디판테놀, 덱스판테놀, 소듐피씨에이, 토코페롤, 비타민E","알로에베라잎즙, 알란토인",,,5번,건성.민감성,,"살균 및 향염,수렴 및 진정","보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습,부드러운 모발","예민현상 진정,수렴 및 진정"
나드,샴푸,나드 센시티브 두피 케어 샴푸 500ml,500,24000,멘톨,"글리세린, 부틸렌글라이콜, 판테놀, 디판테놀, 덱스판테놀, 소듐하이알루로네이트",,,,4번 5번 3번 9번,쿨링효과,,"수렴 및 진정,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
톤28,샴푸,톤28 샴푸바S21 검은콩+참숯 100g,100,11000,,"판테놀, 디판테놀, 덱스판테놀, 글리세린, 소듐하이알루로네이트",,,,5번 3번,건성,,,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,보습력 증가,강력보습",
마녀공장,샴푸,마녀공장 허브그린 샴푸 510ml,510,25000,"감초뿌리추출물, 감초추출물, 레몬오일","글리세린, 캐모마일꽃추출물, 판테놀, 디판테놀, 덱스판테놀, 프로필렌글라이콜, 부틸렌글라이콜",캐모마일꽃추출물,,,5번 3번,건성.민감성,,"살균 및 향염,진정,피부 보호","보습력 증가,습윤,예민현상 진정,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습",예민현상 진정
편강율,샴푸,편강율 약산성 두피 샴푸 500ml,500,34000,멘톨,"글리세린, 부틸렌글라이콜",,,,4번 9번,쿨링효과.약산성,,"수렴 및 진정,쿨링 효과","보습력 증가,강력보습",
플로레비다,샴푸,프로레비다 더 로즈 가드너 샴푸[떼떼드벨르] 280ml,280,23000,"멘톨, 알란토인","소듐하이알루로네이트, 마트리카리아꽃추출물, 부틸렌클라이콜, 토코페롤, 비타민E","마트리카리아꽃추출물, 알란토인",,,4번 5번 9번,쿨링효과.민감성,,"수렴 및 진정,쿨링 효과","강력보습,습윤,예민현상 진정,부드러운 모발","예민현상 진정,수렴 및 진정"
이솔,샴푸,이솔 두피가 편한 샴푸 500ml,500,18800,,"글리세린, 판테놀, 디판테놀, 덱스판테놀, 마트리카리아꽃추출물",마트리카리아꽃추출물,,,5번 3번,건성.민감성,,,"보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,습윤,예민현상 진정",예민현상 진정
아로마티카,샴푸,아로마티카 로즈마리 스칼프 스케일링 샴푸 400ml,400,24000,"살리실릭애씨드, 살리실산","판테놀, 디판테놀, 덱스판테놀, 부틸렌글라이콜, 글리세린",,,,5번 7번,건성,,피지 조절,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습,보습력 증가",
로픈,샴푸,로픈 바오밥 21차 건성/일반용 약산성 프리미엄 샴푸 1000ml,1000,23500,,"글리세린, 부틸렌글라이콜, 뽕나무껍질추출물, 마트리카리아잎추출물","마트리카리아잎추출물, 알로에베라잎추출물",,,5번,건성.민감성.약산성,,,"보습력 증가,강력보습,발모,습윤,예민현상 진정",예민현상 진정
메리뮤,샴푸,메리뮤 밸런싱 샴푸 [퓨어프리니아] 1000ml,1000,32000,녹차수,"글리세린, 달맞이꽃꽃추출물, 소듐하이알루로네이트, 부틸렌글라이콜",,,,5번,지성,,"수렴 및 진정,비듬 제거","보습력 증가,수분 증발 방지,강력보습",
유리피부,샴푸,유리피부 바나나 폭탄 샴푸 500ml,500,27000,"티트리추출물, 살리실릭애씨드, 살리실산, 멘톨","검은콩추출물, 콩추출물, 대두추출물, 판테놀, 디판테놀, 덱스판테놀, 부틸렌글라이콜",,,,4번 9번 7번,지성.쿨링효과.탈모,,"살균 및 향염,피지 조절,수렴 및 진정,쿨링 효과","탈모 억제 효과,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습",
솔테라피,샴푸,솔테라피 닥터 노이치 스칼프 샴푸 480ml,480,31000,,"소듐하이알루로네이트, 판테놀, 디판테놀, 덱스판테놀, 부틸렌글라이콜",,,,3번,건성.탈모,,,"강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
비욘드,샴푸,비욘드 프로페셔널 디펜스 샴푸 500ml,500,31000,"살리실릭애씨드, 살리실산","글리세린, 판테놀, 디판테놀, 덱스판테놀, 부틸렌글라이콜",,,,5번 3번 7번,건성.탈모,,피지 조절,"보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습",
닥터올가,샴푸,닥터올가 태초 다시마 탈모 증상 완화 샴푸 500ml,500,45000,"살리실릭애씨드, 살리실산, 멘톨","글리세린, 부틸렌글라이콜, 판테놀, 디판테놀, 덱스판테놀",알로에베라잎수,,,4번 5번 3번 9번 7번,지성.쿨링효과.탈모탈모.민감성,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
닥터포헤어,샴푸,닥터포헤어 피토테라피 두피케어 샴푸 500ml,500,28000,,"글리세린, 부틸렌글라이콜, 아보카도오일, 토코페롤, 비타민E",,,,5번 3번,건성,,,"보습력 증가,강력보습,수분 증발 방지,부드러운 모발",
닥터지,샴푸,닥터지 두피랩 스케일링 샴푸 500ml,500,26000,"살리실릭애씨드, 살리실산","판테놀, 디판테놀, 덱스판테놀, 부틸렌글라이콜, 토코페롤, 비타민E, 엘라스틴",,,,3번 7번,건성.민감성.탈모,,피지 조절,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습,부드러운 모발,수분 증가",
블루라이트,샴푸,블루라이트 두피 케어 가려움 각질 비듬 전용 한방 향균 샴푸 500ml,500,31000,"감초뿌리추출물, 멘톨, 알란토인","뽕나무껍질추출물, 부틸렌글라이콜, 판테놀, 디판테놀, 덱스판테놀, 엘라스틴",알란토인,,,4번 5번 3번 9번,지성.쿨링효과.탈모.민감성,,"살균 및 향염,수렴 및 진정,쿨링 효과","발모,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,수분 증가",수렴 및 진정
라보에이치,샴푸,라보에이치 탈모즈상완화 퍼품샴푸 400ml,400,24000,,"글리세린, 토코페롤, 비타민E",,,,5번 3번,건성.탈모탈모,,,"보습력 증가,부드러운 모발",
모다모다,샴푸,모다모다 프로 체인지 다크닝 샴푸 300ml,300,34000,"멘톨, 살리실릭애씨드, 살리실산","부틸렌글라이콜, 글리세린, 판테놀, 디판테놀, 덱스판테놀",,,,4번 5번 3번 9번 7번,지성.쿨링효과.탈모,,"수렴 및 진정,쿨링 효과,피지 조절","강력보습,보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
모다모다,샴푸,모다모다 프로 체인지 블론드 샴푸 300ml,300,24000,"알란토인, 멘톨, 살리실릭애씨드, 살리실산","부틸렌글라이콜, 글리세린, 판테놀, 디판테놀, 덱스판테놀, 아스코빅애씨드, 비타민C",알란토인,,,4번 5번 3번 9번 7번,지성.쿨링효과.탈모.민감성,,"수렴 및 진정,쿨링 효과,피지 조절","강력보습,보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,피부 재생,탄력,노화 방지",수렴 및 진정
닥터올가,샴푸,닥터올가 로즈마리 민트 샴푸 500ml,500,33000,,"글리세린, 부틸렌글라이콜, 달맞이꽃오일, 시어버터",,,,"1-2번, 5번",건성,,,"보습력 증가,강력보습,수분 증발 방지",
이지엔,샴푸,이지엔 닥터본드 No.7 오일 샴푸370ml,370,25000,,"글리세린, 아보카도오일, 판테놀",,,,"1-2번, 5번",건성.탈모,,,"보습력 증가,수분 증발 방지,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
헤어플러스,샴푸,헤어플러스 단백질 본드 샴푸 1000ml,1000,45000,"살리실릭애씨드, 살리실산, 글라이콜릭애씨드","판테놀, 디판테놀, 덱스판테놀, 소듐피씨에이, 부틸렌글라이콜, 알로에베라잎추출물",,,,"1-2번, 3번, 5번",민감성.탈모,,"피지 조절,각질감소,수분 흡수율 증가","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습,예민현상 진정,수분 공급",
쿤달,샴푸,쿤달 허니 앤 마카다미아 네이처샴푸 [화이트머스크] 500ml,500,10900,"티트리추출물, 감초뿌리추출물, 알란토인","글리세린, 달맞이꽃추출물, 마트리카리아꽃추출물, 아보카도오일,  시어버터, 판테놀, 디판테놀, 덱스판테놀, 부틸렌글라이콜","마트리카리아꽃추출물, 알란토인",,,"1-2번, 5번",건성.탈모.민감성,,"살균 및 향염,살균 및 향염,수렴 및 진정","보습력 증가,수분 증발 방지,습윤,예민현상 진정,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습","예민현상 진정,수렴 및 진정"
와프랩,샴푸,와프랩 더블유 샴푸 애프터 워크아웃 포 우먼 500ml,500,32000,티트리추출물,"부틸렌글라이콜, 글리세린",,,,1-2번,건성,,살균 및 향염,"강력보습,보습력 증가",
뉴트리커먼,샴푸,뉴트리커먼 아브아 맥주효모 비오틴 탈모완화 샴푸 500ml,500,24900,"살리실릭애씨드, 살리실산, 멘톨, 레몬추출물","판테놀, 디판테놀, 덱스판테놀, 부틸렌글라이콜, 글리세린",,,,"1-2번, 9번, 10번",지성.쿨링효과.탈모탈모,,"피지 조절,수렴 및 진정,쿨링 효과","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습,보습력 증가",
아도르,샴푸,아도르 ACV 식초 샴푸 430ml,430,28000,"레몬추출물, 알란토인",글리세린,알란토인,,,2번,민감성,,수렴 및 진정,보습력 증가,수렴 및 진정
동구밭,샴푸,동구밭 올바른 샴푸바 지성용 100g,100,9500,,"글리세린, 마트리카리아오일",마트리카리아오일,,,2번,지성.민감성,,,"보습력 증가,습윤",예민현상 진정
CKDGUARANTEED,샴푸,아미노 비오틴 올파워풀 샴푸 500ml,500,32000,,"판테놀, 디판테놀, 덱스판테놀, 캐모마일꽃오일, 마트리카리아꽃/앞추출물, 아스코빅앴드, 비타민C, 소듐하이알루로네이트, 글리세린, 부틸렌글라이콜, 토코페롤, 비타민E, 베타-카로틴","캐모마일꽃오일, 마트리카리아꽃/잎추출물",,,"1-2번, 2번, 10번",건성.탈모.민감성,,,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,습윤,예민현상 진정,피부 재생,탄력,노화 방지,강력보습,보습력 증가,부드러운 모발",예민현상 진정
